"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"digest","C:/Users/jtolbert/Documents/R/win-library/3.5","0.6.20",,"R (>= 3.1.0)",,,"tinytest, knitr, rmarkdown",,"GPL (>= 2)",,,,,"yes","3.5.3"
"dimRed","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.3",,"R (>= 3.0.0), DRR","magrittr, methods",,"NMF, MASS, Matrix, RANN, RSpectra, Rtsne, cccd, coRanking,
diffusionMap, energy, fastICA, ggplot2, graphics, igraph,
keras, kernlab, knitr, lle, loe, optimx, pcaL1, pcaPP,
reticulate, rgl, scales, scatterplot3d, stats, tensorflow,
testthat, tidyr, tinytex, umap, vegan",,"GPL-3 | file LICENSE",,,,,"yes","3.5.3"
"diptest","C:/Users/jtolbert/Documents/R/win-library/3.5","0.75-7",,,,,,,"GPL (>= 2)",,,,,"yes","3.5.2"
"directlabels","C:/Users/jtolbert/Documents/R/win-library/3.5","2018.05.22",,,"grid, quadprog",,"MASS, inlinedocs, ggplot2 (>= 2.0), rlang, lattice,
alphahull, nlme, ElemStatLearn, lars, latticeExtra, dplyr",,"GPL-3",,,,,"no","3.5.2"
"dlookr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.11",,"R (>= 3.2.0), mice","dplyr, magrittr, tidyr, ggplot2, RcmdrMisc, corrplot, rlang,
purrr, tibble, tidyselect, classInt, moments, kableExtra,
prettydoc, smbinning, xtable, knitr, rmarkdown, RColorBrewer,
gridExtra, tinytex, methods, DMwR, rpart",,"ISLR, nycflights13, randomForest, dbplyr, DBI, RSQLite,
testthat",,"GPL-2 | file LICENSE",,,,,"no","3.5.3"
"DMwR","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.1",,"R(>= 2.10), methods, graphics, lattice (>= 0.18-3), grid (>=
2.10.1)","xts (>= 0.6-7), quantmod (>= 0.3-8), zoo (>= 1.6-4), abind (>=
1.1-0), rpart (>= 3.1-46), class (>= 7.3-1), ROCR (>= 1.0)",,,,"GPL (>= 2)",,,,,"no","3.5.2"
"docker","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.2",,"R (>= 3.1.0)","reticulate",,"testthat, knitr, rmarkdown",,"MIT + file LICENSE",,,,,"no","3.5.2"
"docopt","C:/Users/jtolbert/Documents/R/win-library/3.5","0.6.1",,,"methods",,"testthat",,"MIT + file LICENSE",,,,,"no","3.5.2"
"docstring","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.0",,,"roxygen2, utils, tools",,"devtools, rstudioapi, knitr, rmarkdown",,"GPL-2",,,,,"no","3.5.2"
"doParallel","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.15",,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",,,"caret, mlbench, rpart, RUnit","compiler","GPL-2",,,,,"no","3.5.3"
"doRNG","C:/Users/jtolbert/Documents/R/win-library/3.5","1.7.1",,"R (>= 3.0.0), foreach, rngtools (>= 1.3)","stats, utils, iterators, pkgmaker (>= 0.20)",,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
bibtex, testthat",,"GPL (>= 2)",,,,,"no","3.5.2"
"downloader","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4",,,"utils, digest",,"testthat",,"GPL-2",,,,,"no","3.5.2"
"dplyr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.8.3",,"R (>= 3.2.0)","assertthat (>= 0.2.0), glue (>= 1.3.0), magrittr (>= 1.5),
methods, pkgconfig, R6, Rcpp (>= 1.0.1), rlang (>= 0.4.0),
tibble (>= 2.0.0), tidyselect (>= 0.2.5), utils","BH, plogr (>= 0.2.0), Rcpp (>= 1.0.1)","bit64, callr, covr, crayon (>= 1.3.4), DBI, dbplyr, dtplyr,
ggplot2, hms, knitr, Lahman, lubridate, MASS, mgcv,
microbenchmark, nycflights13, rmarkdown, RMySQL, RPostgreSQL,
RSQLite, testthat, withr, broom, purrr, readr",,"MIT + file LICENSE",,,,,"yes","3.5.3"
"DRR","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.3",,"kernlab, CVST, Matrix","stats, methods",,"knitr, rmarkdown",,"GPL-3 | file LICENSE",,,,,"no","3.5.2"
"DT","C:/Users/jtolbert/Documents/R/win-library/3.5","0.8",,,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises",,"knitr (>= 1.8), rmarkdown, shiny (>= 1.1.0)",,"GPL-3 | file LICENSE",,,,,"no","3.5.3"
"dtplyr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.3",,,"dplyr (>= 0.5.0), data.table (>= 1.9.6), lazyeval, rlang",,"Lahman, nycflights13, testthat, covr",,"GPL (>= 2)",,,,,"no","3.5.3"
"dtt","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1-2",,,,,,,"GPL (>= 2)",,,,,"no","3.5.2"
"dygraphs","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.1.6",,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",,,,,"no","3.5.2"
"e1071","C:/Users/jtolbert/Documents/R/win-library/3.5","1.7-2",,,"graphics, grDevices, class, stats, methods, utils",,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",,"GPL-2 | GPL-3",,,,,"yes","3.5.3"
"earth","C:/Users/jtolbert/Documents/R/win-library/3.5","5.1.1",,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.5.4),
TeachingDemos (>= 2.10)",,,"gam (>= 1.16), mgcv (>= 1.8-26), mda (>= 0.4-10), MASS (>=
7.3-51)",,"GPL-3",,,,,"yes","3.5.3"
"editData","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.2",,"R (>= 2.10)","shiny (>= 0.13), miniUI (>= 0.1.1), rstudioapi (>= 0.5), DT,
tibble",,"knitr, rmarkdown",,"GPL-3",,,,,"no","3.5.2"
"elasticnet","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.1",,"R (>= 2.10), lars",,,,,"GPL (>= 2)",,,,,"no","3.5.2"
"ellipse","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.1",,"R (>= 2.0.0),graphics,stats",,,"MASS",,"GPL (>= 2)",,,,,"no","3.5.3"
"ellipsis","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.0.1",,"R (>= 3.1)","rlang (>= 0.3.0)",,"covr, testthat",,"GPL-3",,,,,"yes","3.5.3"
"emmeans","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4.1",,"R (>= 3.2)","estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, plyr, mvtnorm, xtable (>= 1.8-2)",,"bayesplot, biglm, brms, car, coda (>= 0.17), ggplot2,
lattice, mediation, mgcv, multcomp, multcompView, nlme, ordinal
(>= 2014.11-12), pbkrtest (>= 0.4-1), lme4, lmerTest (>=
2.0.32), MASS, MuMIn, rsm, knitr, rmarkdown, scales, testthat","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",,,,,"no","3.5.3"
"enc","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.1",,"R (>= 3.1)","methods",,"digest, pillar, readr, rlang, testthat, withr",,"GPL-3",,,,,"yes","3.5.3"
"entropy","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.1",,"R (>= 2.15.1)",,,"",,"GPL (>= 3)",,,,,"no","3.5.2"
"estimability","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3",,"stats",,,,,"GPL (>= 3)",,,,,"no","3.5.2"
"evaluate","C:/Users/jtolbert/Documents/R/win-library/3.5","0.14",,"R (>= 3.0.2)","methods",,"testthat, lattice, ggplot2",,"MIT + file LICENSE",,,,,"no","3.5.3"
"extraDistr","C:/Users/jtolbert/Documents/R/win-library/3.5","1.8.11",,"R (>= 3.1.0)","Rcpp","Rcpp","testthat, LaplacesDemon, VGAM, evd, hoa, skellam, triangle,
actuar",,"GPL-2",,,,,"yes","3.5.3"
"extrafont","C:/Users/jtolbert/Documents/R/win-library/3.5","0.17",,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",,"fontcm",,"GPL-2",,,,,"no","3.5.2"
"extrafontdb","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0",,"R (>= 2.14)",,,,,"GPL-2",,,,,,"3.5.2"
"extraTrees","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.5",,"R (>= 2.7.0), rJava (>= 0.5-0)",,,"testthat, Matrix",,"Apache License 2.0",,,,,"no","3.5.2"
"factoextra","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.5",,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",,"ade4, ca, igraph, MASS, knitr, mclust",,"GPL-2",,,,,"no","3.5.3"
"FactoMineR","C:/Users/jtolbert/Documents/R/win-library/3.5","1.42",,"R (>= 3.0.0)","car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils",,"missMDA,knitr",,"GPL (>= 2)",,,,,"no","3.5.3"
"fansi","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.0",,"R (>= 3.1.0)",,,"unitizer, knitr, rmarkdown",,"GPL (>= 2)",,,,,"yes","3.5.2"
"fastAdaboost","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.0",,"R (>= 3.1.2)","Rcpp, rpart","Rcpp (>= 0.12.0)","testthat, knitr, MASS",,"MIT + file LICENSE",,,,,"yes","3.5.2"
"fastmatch","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1-0",,,,,,,"GPL-2",,,,,"yes","3.5.2"
"feather","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.5",,,"Rcpp, tibble (>= 2.0.0), hms","Rcpp","testthat",,"Apache License 2.0",,,,,"yes","3.5.2"
"filelock","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.2",,,,,"callr (>= 2.0.0), covr, testthat",,"MIT + file LICENSE",,,,,"yes","3.5.2"
"FinancialInstrument","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3.1",,"R (>= 3.0.0), methods, quantmod (>= 0.4-3), zoo (>= 1.7-5),
xts (>= 0.10-0)","TTR",,"foreach, XML (>= 3.96.1.1), testthat, timeSeries",,"GPL",,,,,"no","3.5.2"
"flashClust","C:/Users/jtolbert/Documents/R/win-library/3.5","1.01-2",,"R (>= 2.3.0)",,,,,"GPL (>= 2)",,,,,,"3.5.2"
"flexclust","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4-0",,"R (>= 2.14.0), graphics, grid, lattice, modeltools","methods, parallel, stats, stats4, class",,"ellipse, clue, cluster, seriation, skmeans",,"GPL-2",,,,,"yes","3.5.2"
"flexmix","C:/Users/jtolbert/Documents/R/win-library/3.5","2.3-15",,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",,"GPL (>= 2)",,,,,"no","3.5.2"
"flextable","C:/Users/jtolbert/Documents/R/win-library/3.5","0.5.5",,,"stats, utils, grDevices, graphics, officer (>= 0.2.0),
rmarkdown, knitr, htmltools, xml2, data.table, gdtools (>=
0.1.6), rlang, base64enc",,"testthat, xtable, magrittr, webshot, magick, ggplot2",,"GPL-3",,,,,"no","3.5.3"
"forcats","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.0",,"R (>= 3.1)","ellipsis, magrittr, rlang, tibble",,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",,"GPL-3",,,,,"no","3.5.2"
"foreach","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4.7",,"R (>= 2.5.0)","codetools, utils, iterators",,"randomForest","compiler, doMC, RUnit, doParallel","Apache License (== 2.0)",,,,,"no","3.5.3"
"forecast","C:/Users/jtolbert/Documents/R/win-library/3.5","8.9",,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","uroot, knitr, rmarkdown, rticles, testthat, methods",,"GPL-3",,,,,"yes","3.5.3"
"foreign","C:/Users/jtolbert/Documents/R/win-library/3.5","0.8-72","recommended","R (>= 3.0.0)","methods, utils, stats",,,,"GPL (>= 2)",,,,,"yes","3.5.3"
"formatR","C:/Users/jtolbert/Documents/R/win-library/3.5","1.7",,"R (>= 3.0.2)",,,"codetools, shiny, testit, rmarkdown, knitr",,"GPL",,,,,"no","3.5.3"
"formattable","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.0.1",,"R (> 3.0.2)","methods, htmltools, htmlwidgets, knitr, rmarkdown",,"testthat, DT, shiny, covr",,"MIT + file LICENSE",,,,,"no","3.5.3"
"Formula","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2-3",,"R (>= 2.0.0), stats",,,,,"GPL-2 | GPL-3",,,,,"no","3.5.2"
"fortunes","C:/Users/jtolbert/Documents/R/win-library/3.5","1.5-4",,,"utils",,,,"GPL-2 | GPL-3",,,,,"no","3.5.2"
"fpc","C:/Users/jtolbert/Documents/R/win-library/3.5","2.2-3",,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",,"tclust, pdfCluster, EMMIXskew, mvtnorm",,"GPL",,,,,"no","3.5.3"
"fracdiff","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4-2",,,,,"longmemo, urca",,"GPL (>= 2)",,,,,,"3.5.2"
"fs","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3.1",,"R (>= 3.1)","methods, Rcpp","Rcpp","testthat, covr, pillar (>= 1.0.0), crayon, rmarkdown, knitr,
withr, spelling",,"GPL-3",,,,,"yes","3.5.3"
"fundRaising","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,,"lubridate,
stringr,
dplyr,
purrr,
rlang,
zipcode,
ggmap,
tibble",,,,"GPL3",,,,,,"3.5.2"
"furrr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,"R (>= 3.2.0), future (>= 1.6.2)","globals (>= 0.10.3), rlang (>= 0.2.0), purrr (>= 0.2.4)",,"listenv (>= 0.6.0), dplyr (>= 0.7.4), testthat",,"LGPL (>= 2.1)",,,,,"no","3.5.3"
"futile.logger","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4.3",,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",,"testthat, jsonlite",,"LGPL-3",,,,,"no","3.5.3"
"futile.options","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.1",,"R (>= 2.8.0)",,,,,"LGPL-3",,,,,"no","3.5.2"
"future","C:/Users/jtolbert/Documents/R/win-library/3.5","1.14.0",,,"digest, globals (>= 0.12.4), listenv (>= 0.7.0), parallel,
utils",,"R.rsp, markdown",,"LGPL (>= 2.1)",,,,,"no","3.5.3"
"fuzzyforest","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.5",,"R (>= 3.2.1)","randomForest, foreach, doRNG, doParallel, parallel, ggplot2,
mvtnorm",,"WGCNA, testthat",,"GPL-3",,,,,"no","3.5.2"
"fuzzyjoin","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.5",,"R (>= 2.10)","stringdist, stringr, dplyr (>= 0.8.1), tidyr (>= 0.4.0),
purrr, geosphere, tibble",,"testthat, knitr, ggplot2, qdapDictionaries, readr, rvest,
rmarkdown, maps, IRanges, covr",,"MIT + file LICENSE",,,,,"no","3.5.3"
"gargle","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.1",,"R (>= 3.2)","fs (>= 1.3.1), glue (>= 1.3.0), httr (>= 1.4.0), jsonlite,
rlang, stats, withr",,"covr, knitr, rmarkdown, sodium, testthat (>= 2.1.0)",,"MIT + file LICENSE",,,,,"no","3.5.3"
"gbm","C:/Users/jtolbert/Documents/R/win-library/3.5","2.1.5",,"R (>= 2.9.0)","gridExtra, lattice, parallel, survival",,"knitr, pdp, RUnit, splines, viridis",,"GPL (>= 2) | file LICENSE",,,,,"yes","3.5.2"
"gclus","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3.2",,"R (>= 2.10), cluster",,,"knitr, rmarkdown",,"GPL (>= 2)",,,,,"no","3.5.2"
"gdalUtils","C:/Users/jtolbert/Documents/R/win-library/3.5","2.0.1.14",,"R (>= 2.14.0)","sp, foreach, R.utils, raster, rgdal",,,,"GPL (>= 2)",,,,,"no","3.5.2"
"gdata","C:/Users/jtolbert/Documents/R/win-library/3.5","2.18.0",,"R (>= 2.3.0)","gtools, stats, methods, utils",,"RUnit",,"GPL-2",,,,,"no","3.5.2"
"gdtools","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.0",,,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",,"GPL-3 | file LICENSE",,,,,"yes","3.5.3"
"generator","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,"R (>= 3.1.2)",,,"testthat",,"MIT + file LICENSE",,,,,"no","3.5.2"
"generics","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.2",,"R (>= 3.1)","methods",,"covr, pkgload, testthat, tibble",,"GPL-2",,,,,"no","3.5.2"
"geometry","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.4",,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",,"GPL (>= 3)",,,,,"yes","3.5.3"
"geosphere","C:/Users/jtolbert/Documents/R/win-library/3.5","1.5-10",,"R (>= 3.0.0)","sp",,"methods, raster",,"GPL (>= 3)",,,,,"yes","3.5.3"
"getPass","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2-2",,"R (>= 3.0.0)","utils, rstudioapi (>= 0.5)",,"argon2",,"BSD 2-clause License + file LICENSE",,,,,"yes","3.5.2"
"GGally","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4.0",,"R (>= 3.1), ggplot2 (> 2.2.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), utils, rlang",,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1), igraph
(>= 1.0.1), intergraph (>= 2.0-2), maps (>= 3.1.0), mapproj,
network (>= 1.12.0), scagnostics, scales (>= 0.4.0), sna (>=
2.3-2), survival, packagedocs (>= 0.4.0), rmarkdown, roxygen2,
testthat, crosstalk",,"GPL (>= 2.0)",,,,,"no","3.5.2"
"ggdendro","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1-20",,,"MASS, ggplot2(>= 0.9.2)",,"rpart(>= 4.0-0), tree, testthat, knitr, cluster, scales",,"GPL-2 | GPL-3",,,,,"no","3.5.2"
"ggfortify","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.7",,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",,"testthat, cluster, changepoint, dlm, fGarch, forecast,
ggrepel, glmnet, grDevices, KFAS, knitr, lintr, mapdata, MASS,
MSwM, nlme, raster, ROCR, sp, stats, strucchange, survival,
timeSeries, tseries, utils, vars, xts, zoo, lfda",,"GPL-2",,,,,"no","3.5.3"
"ggmap","C:/Users/jtolbert/Documents/R/win-library/3.5","3.0.0",,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",,"MASS, hexbin, testthat",,"GPL-2",,,,,"no","3.5.2"
"ggplot2","C:/Users/jtolbert/Documents/R/win-library/3.5","3.2.1",,"R (>= 3.2)","digest, grDevices, grid, gtable (>= 0.1.1), lazyeval, MASS,
mgcv, reshape2, rlang (>= 0.3.0), scales (>= 0.5.0), stats,
tibble, viridisLite, withr (>= 2.0.0)",,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, rgeos, rmarkdown, rpart, sf (>= 0.7-3), svglite (>=
1.2.0.9001), testthat (>= 0.11.0), vdiffr (>= 0.3.0)","sp","GPL-2 | file LICENSE",,,,,"no","3.5.3"
"ggpubr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.3",,"R (>= 3.1.0), ggplot2, magrittr","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang",,"grDevices, knitr, RColorBrewer, gtable",,"GPL-2",,,,,"no","3.5.3"
"ggrepel","C:/Users/jtolbert/Documents/R/win-library/3.5","0.8.1",,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc",,"GPL-3 | file LICENSE",,,,,"yes","3.5.3"
"ggridges","C:/Users/jtolbert/Documents/R/win-library/3.5","0.5.1",,"R (>= 3.2)","ggplot2 (>= 2.2.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",,"covr, dplyr, gridExtra, ggplot2movies, DAAG, forcats, knitr,
rmarkdown, testthat, vdiffr, viridis",,"GPL-2 | file LICENSE",,,,,"no","3.5.3"
"ggsci","C:/Users/jtolbert/Documents/R/win-library/3.5","2.9",,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",,"knitr, rmarkdown, gridExtra, reshape2",,"GPL-3 | file LICENSE",,,,,"no","3.5.2"
"ggsignif","C:/Users/jtolbert/Documents/R/win-library/3.5","0.6.0",,,"ggplot2 (>= 2.0.0)",,"testthat, knitr, rmarkdown",,"GPL-3",,,,,"no","3.5.3"
"ggvis","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.4",,"R (>= 3.0)","assertthat, jsonlite (>= 0.9.11), shiny (>= 0.11.1), magrittr,
dplyr (>= 0.4.0), lazyeval, htmltools (>= 0.2.4), methods",,"MASS, mgcv, lubridate, testthat (>= 0.8.1), knitr (>= 1.6),
rmarkdown",,"GPL-2 | file LICENSE",,,,,"no","3.5.2"
"gh","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.1",,,"ini, jsonlite, httr",,"covr, pingr, testthat",,"MIT + file LICENSE",,,,,"no","3.5.2"
"git2r","C:/Users/jtolbert/Documents/R/win-library/3.5","0.26.1",,"R (>= 3.1)","graphics, utils",,"getPass",,"GPL-2",,,,,"yes","3.5.3"
"gld","C:/Users/jtolbert/Documents/R/win-library/3.5","2.6",,,"stats, graphics, e1071, lmom",,"",,"GPL (>= 2)",,,,,"yes","3.5.3"
"glmnet","C:/Users/jtolbert/Documents/R/win-library/3.5","2.0-18",,"Matrix (>= 1.0-6), utils, foreach","methods",,"survival, knitr, lars",,"GPL-2",,,,,"yes","3.5.3"
"globals","C:/Users/jtolbert/Documents/R/win-library/3.5","0.12.4",,"R (>= 3.1.2)","codetools",,,,"LGPL (>= 2.1)",,,,,"no","3.5.2"
"glue","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3.1",,"R (>= 3.1)","methods",,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr",,"MIT + file LICENSE",,,,,"yes","3.5.3"
"goftest","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1-1",,"R (>= 3.3)","stats",,,,"GPL (>= 2)",,,,,"yes","3.5.2"
"googledrive","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.0",,"R (>= 3.2)","curl (>= 2.8.1), gargle (>= 0.3.1), glue (>= 1.2.0), httr,
jsonlite, magrittr, purrr (>= 0.2.3), rlang (>= 0.3.1), tibble
(>= 2.0.0), utils, uuid",,"covr, dplyr, knitr, rmarkdown, roxygen2, sodium, testthat (>=
2.1.1)",,"MIT + file LICENSE",,,,,"no","3.5.3"
"googlePolylines","C:/Users/jtolbert/Documents/R/win-library/3.5","0.7.2",,"R (>= 3.3.0)","Rcpp (>= 0.12.13)","Rcpp, BH","covr, knitr, rmarkdown, sf, testthat",,"GPL-3",,,,,"yes","3.5.2"
"googleway","C:/Users/jtolbert/Documents/R/win-library/3.5","2.7.1",,"R (>= 3.3.0)","jsonlite (>= 0.9.20), curl, htmlwidgets, htmltools, magrittr,
shiny, jpeg, utils, jqr, viridisLite, scales, grDevices,
googlePolylines (>= 0.7.1)",,"knitr, rmarkdown, testthat",,"GPL-3",,,,,"no","3.5.2"
"gower","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.1",,,,,"tinytest (>= 0.9.3),",,"GPL-3",,,,,"yes","3.5.3"
"gplots","C:/Users/jtolbert/Documents/R/win-library/3.5","3.0.1.1",,"R (>= 3.0)","gtools, gdata, stats, caTools, KernSmooth",,"grid, MASS",,"GPL-2",,,,,"no","3.5.2"
"gridBase","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4-7",,"R (>= 2.3.0)","graphics, grid",,"lattice",,"GPL",,,,,"no","3.5.2"
"gridExtra","C:/Users/jtolbert/Documents/R/win-library/3.5","2.3",,,"gtable, grid, grDevices, graphics, utils",,"ggplot2, egg, lattice, knitr, testthat",,"GPL (>= 2)",,,,,"no","3.5.2"
"gsubfn","C:/Users/jtolbert/Documents/R/win-library/3.5","0.7",,"proto",,,"boot, chron, grid, lattice, quantreg, svUnit, tcltk, zoo",,"GPL (>= 2)",,,,,"no","3.5.2"
"gtable","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.0",,"R (>= 3.0)","grid",,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",,"GPL-2",,,,,"no","3.5.3"
"gtools","C:/Users/jtolbert/Documents/R/win-library/3.5","3.8.1",,"methods, stats, utils",,,,,"GPL-2",,,,,"yes","3.5.2"
"HARtools","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.5",,"R (>= 3.0.0)","assertthat, magrittr, jsonlite, htmlwidgets, htmltools",,"testthat, covr, httr, shiny, knitr, rmarkdown",,"GPL-3",,,,,"no","3.5.2"
"haven","C:/Users/jtolbert/Documents/R/win-library/3.5","2.1.1",,"R (>= 3.2)","forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
tibble","Rcpp","covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.1.1), cli,
crayon",,"MIT + file LICENSE",,,,,"yes","3.5.3"
"here","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1",,,"rprojroot (>= 1.2)",,,,"GPL-3",,,,,"no","3.5.2"
"hexbin","C:/Users/jtolbert/Documents/R/win-library/3.5","1.27.3",,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",,"marray, affy, Biobase, limma",,"GPL-2",,,,,"yes","3.5.3"
